URL,Family,Class
47faeb4f1b75a48499ba14e9b1cd895a.co.cc,bamital_dga_dbaa1822,1
47faeb4f1b75a48499ba14e9b1cd895a.cz.cc,bamital_dga_dbaa1822,1
9b86bb2ef4bad69cca0110076215e1f4.org,bamital_dga_dbaa1822,1
9b86bb2ef4bad69cca0110076215e1f4.info,bamital_dga_dbaa1822,1
9b86bb2ef4bad69cca0110076215e1f4.co.cc,bamital_dga_dbaa1822,1
9b86bb2ef4bad69cca0110076215e1f4.cz.cc,bamital_dga_dbaa1822,1
b1bc086df017d40a4123488866a265b2.org,bamital_dga_dbaa1822,1
b1bc086df017d40a4123488866a265b2.info,bamital_dga_dbaa1822,1
b1bc086df017d40a4123488866a265b2.co.cc,bamital_dga_dbaa1822,1
b1bc086df017d40a4123488866a265b2.cz.cc,bamital_dga_dbaa1822,1
42f2f603dbf06493ca5a16e1b968d30c.org,bamital_dga_dbaa1822,1
42f2f603dbf06493ca5a16e1b968d30c.info,bamital_dga_dbaa1822,1
42f2f603dbf06493ca5a16e1b968d30c.co.cc,bamital_dga_dbaa1822,1
42f2f603dbf06493ca5a16e1b968d30c.cz.cc,bamital_dga_dbaa1822,1
381ed097870ca065ba2ee82a9a6aba48.org,bamital_dga_dbaa1822,1
381ed097870ca065ba2ee82a9a6aba48.info,bamital_dga_dbaa1822,1
381ed097870ca065ba2ee82a9a6aba48.co.cc,bamital_dga_dbaa1822,1
381ed097870ca065ba2ee82a9a6aba48.cz.cc,bamital_dga_dbaa1822,1
4080a9a50926345d53257b78cc8b48f9.org,bamital_dga_dbaa1822,1
4080a9a50926345d53257b78cc8b48f9.info,bamital_dga_dbaa1822,1
4080a9a50926345d53257b78cc8b48f9.co.cc,bamital_dga_dbaa1822,1
4080a9a50926345d53257b78cc8b48f9.cz.cc,bamital_dga_dbaa1822,1
22878534f9c16c443c57a7d8d649af4c.org,bamital_dga_dbaa1822,1
22878534f9c16c443c57a7d8d649af4c.info,bamital_dga_dbaa1822,1
22878534f9c16c443c57a7d8d649af4c.co.cc,bamital_dga_dbaa1822,1
22878534f9c16c443c57a7d8d649af4c.cz.cc,bamital_dga_dbaa1822,1
98d075d1b931e89654e33d1fedc2296c.org,bamital_dga_dbaa1822,1
98d075d1b931e89654e33d1fedc2296c.info,bamital_dga_dbaa1822,1
98d075d1b931e89654e33d1fedc2296c.co.cc,bamital_dga_dbaa1822,1
98d075d1b931e89654e33d1fedc2296c.cz.cc,bamital_dga_dbaa1822,1
4cc6013531853cd7eca50a3177b5ee7d.org,bamital_dga_dbaa1822,1
4cc6013531853cd7eca50a3177b5ee7d.info,bamital_dga_dbaa1822,1
4cc6013531853cd7eca50a3177b5ee7d.co.cc,bamital_dga_dbaa1822,1
4cc6013531853cd7eca50a3177b5ee7d.cz.cc,bamital_dga_dbaa1822,1
ff364d63d2a99159999fd62d59ef11f2.org,bamital_dga_dbaa1822,1
ff364d63d2a99159999fd62d59ef11f2.info,bamital_dga_dbaa1822,1
ff364d63d2a99159999fd62d59ef11f2.co.cc,bamital_dga_dbaa1822,1
ff364d63d2a99159999fd62d59ef11f2.cz.cc,bamital_dga_dbaa1822,1
79926be0f7e44c1fa1b63adba92f0cec.org,bamital_dga_dbaa1822,1
79926be0f7e44c1fa1b63adba92f0cec.info,bamital_dga_dbaa1822,1
79926be0f7e44c1fa1b63adba92f0cec.co.cc,bamital_dga_dbaa1822,1
79926be0f7e44c1fa1b63adba92f0cec.cz.cc,bamital_dga_dbaa1822,1
0d33e6ccb41f44f79d0b20a21f7cf894.org,bamital_dga_dbaa1822,1
0d33e6ccb41f44f79d0b20a21f7cf894.info,bamital_dga_dbaa1822,1
0d33e6ccb41f44f79d0b20a21f7cf894.co.cc,bamital_dga_dbaa1822,1
0d33e6ccb41f44f79d0b20a21f7cf894.cz.cc,bamital_dga_dbaa1822,1
8afcc1f2ec133836b257c4e59d399c01.org,bamital_dga_dbaa1822,1
8afcc1f2ec133836b257c4e59d399c01.info,bamital_dga_dbaa1822,1
8afcc1f2ec133836b257c4e59d399c01.co.cc,bamital_dga_dbaa1822,1
8afcc1f2ec133836b257c4e59d399c01.cz.cc,bamital_dga_dbaa1822,1
253375007a2795ed0e0329bffbd56f68.org,bamital_dga_dbaa1822,1
253375007a2795ed0e0329bffbd56f68.info,bamital_dga_dbaa1822,1
253375007a2795ed0e0329bffbd56f68.co.cc,bamital_dga_dbaa1822,1
253375007a2795ed0e0329bffbd56f68.cz.cc,bamital_dga_dbaa1822,1
ed0e17b1e04a39ad5b7c7852e8e58dba.org,bamital_dga_dbaa1822,1
ed0e17b1e04a39ad5b7c7852e8e58dba.info,bamital_dga_dbaa1822,1
ed0e17b1e04a39ad5b7c7852e8e58dba.co.cc,bamital_dga_dbaa1822,1
ed0e17b1e04a39ad5b7c7852e8e58dba.cz.cc,bamital_dga_dbaa1822,1
c3c098f01ff65171e00cb449e0ba81f9.org,bamital_dga_dbaa1822,1
c3c098f01ff65171e00cb449e0ba81f9.info,bamital_dga_dbaa1822,1
c3c098f01ff65171e00cb449e0ba81f9.co.cc,bamital_dga_dbaa1822,1
c3c098f01ff65171e00cb449e0ba81f9.cz.cc,bamital_dga_dbaa1822,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.org,bamital_dga_dbaa1822,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.info,bamital_dga_dbaa1822,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.co.cc,bamital_dga_dbaa1822,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.cz.cc,bamital_dga_dbaa1822,1
63464f2be78b7869e37abe3fcedc5356.org,bamital_dga_dbaa1822,1
63464f2be78b7869e37abe3fcedc5356.info,bamital_dga_dbaa1822,1
63464f2be78b7869e37abe3fcedc5356.co.cc,bamital_dga_dbaa1822,1
63464f2be78b7869e37abe3fcedc5356.cz.cc,bamital_dga_dbaa1822,1
fd8cff0fc96da6028fd7173e99e1b0c6.org,bamital_dga_dbaa1822,1
fd8cff0fc96da6028fd7173e99e1b0c6.info,bamital_dga_dbaa1822,1
fd8cff0fc96da6028fd7173e99e1b0c6.co.cc,bamital_dga_dbaa1822,1
fd8cff0fc96da6028fd7173e99e1b0c6.cz.cc,bamital_dga_dbaa1822,1
a947bc15af5563ed1f748a0fd256811d.org,bamital_dga_dbaa1822,1
a947bc15af5563ed1f748a0fd256811d.info,bamital_dga_dbaa1822,1
a947bc15af5563ed1f748a0fd256811d.co.cc,bamital_dga_dbaa1822,1
a947bc15af5563ed1f748a0fd256811d.cz.cc,bamital_dga_dbaa1822,1
a856a4f2f98c6b596aaf3c7f2c7fce04.org,bamital_dga_dbaa1822,1
a856a4f2f98c6b596aaf3c7f2c7fce04.info,bamital_dga_dbaa1822,1
